year,round,event,driver,team,quali_position,best_quali_time,gap_to_pole,teammate_quali_gap
2022,1,Bahrain Grand Prix,LEC,Ferrari,1,90.558,0.0,-0.12899999999999068
2022,1,Bahrain Grand Prix,SAI,Ferrari,3,90.687,0.12899999999999068,0.12899999999999068
2022,1,Bahrain Grand Prix,VER,Red Bull Racing,2,90.681,0.12299999999999045,-0.2400000000000091
2022,1,Bahrain Grand Prix,PER,Red Bull Racing,4,90.921,0.36299999999999955,0.2400000000000091
2022,1,Bahrain Grand Prix,HAM,Mercedes,5,91.238,0.6799999999999926,-0.9779999999999944
2022,1,Bahrain Grand Prix,RUS,Mercedes,9,92.216,1.657999999999987,0.9779999999999944
2022,1,Bahrain Grand Prix,BOT,Alfa Romeo,6,91.56,1.0019999999999953,-1.983000000000004
2022,1,Bahrain Grand Prix,ZHO,Alfa Romeo,15,93.543,2.9849999999999994,1.983000000000004
2022,1,Bahrain Grand Prix,MAG,Haas F1 Team,7,91.808,1.25,-0.18999999999999773
2022,1,Bahrain Grand Prix,MSC,Haas F1 Team,12,91.998,1.4399999999999977,0.18999999999999773
2022,1,Bahrain Grand Prix,ALO,Alpine,8,92.195,1.6369999999999862,0.4129999999999967
2022,1,Bahrain Grand Prix,OCO,Alpine,11,91.782,1.2239999999999895,-0.4129999999999967
2022,1,Bahrain Grand Prix,GAS,AlphaTauri,10,92.338,1.779999999999987,-0.41200000000000614
2022,1,Bahrain Grand Prix,TSU,AlphaTauri,16,92.75,2.191999999999993,0.41200000000000614
2022,1,Bahrain Grand Prix,NOR,McLaren,13,92.008,1.4499999999999886,-0.9369999999999976
2022,1,Bahrain Grand Prix,RIC,McLaren,18,92.945,2.3869999999999862,0.9369999999999976
2022,1,Bahrain Grand Prix,ALB,Williams,14,92.664,2.1059999999999945,-0.9699999999999989
2022,1,Bahrain Grand Prix,LAT,Williams,20,93.634,3.0759999999999934,0.9699999999999989
2022,1,Bahrain Grand Prix,HUL,Aston Martin,17,92.777,2.218999999999994,-0.25499999999999545
2022,1,Bahrain Grand Prix,STR,Aston Martin,19,93.032,2.4739999999999895,0.25499999999999545
2022,2,Saudi Arabian Grand Prix,PER,Red Bull Racing,1,88.2,0.0,-0.2609999999999957
2022,2,Saudi Arabian Grand Prix,VER,Red Bull Racing,4,88.461,0.2609999999999957,0.2609999999999957
2022,2,Saudi Arabian Grand Prix,LEC,Ferrari,2,88.225,0.024999999999991473,-0.1770000000000067
2022,2,Saudi Arabian Grand Prix,SAI,Ferrari,3,88.402,0.20199999999999818,0.1770000000000067
