year,round,event,driver,team,grid_position,finish_position,is_dnf,teammate_race_gap,status
2022,1,Bahrain Grand Prix,LEC,Ferrari,1,1,False,-1.0,Finished
2022,1,Bahrain Grand Prix,SAI,Ferrari,3,2,False,1.0,Finished
2022,1,Bahrain Grand Prix,HAM,Mercedes,5,3,False,-1.0,Finished
2022,1,Bahrain Grand Prix,RUS,Mercedes,9,4,False,1.0,Finished
2022,1,Bahrain Grand Prix,MAG,Haas F1 Team,7,5,False,-6.0,Finished
2022,1,Bahrain Grand Prix,MSC,Haas F1 Team,12,11,False,6.0,Finished
2022,1,Bahrain Grand Prix,BOT,Alfa Romeo,6,6,False,-4.0,Finished
2022,1,Bahrain Grand Prix,ZHO,Alfa Romeo,15,10,False,4.0,Finished
2022,1,Bahrain Grand Prix,OCO,Alpine,11,7,False,-2.0,Finished
2022,1,Bahrain Grand Prix,ALO,Alpine,8,9,False,2.0,Finished
2022,1,Bahrain Grand Prix,TSU,AlphaTauri,16,8,False,-12.0,Finished
2022,1,Bahrain Grand Prix,GAS,AlphaTauri,10,20,True,12.0,Power Unit
2022,1,Bahrain Grand Prix,STR,Aston Martin,19,12,False,-5.0,Finished
2022,1,Bahrain Grand Prix,HUL,Aston Martin,17,17,False,5.0,Finished
2022,1,Bahrain Grand Prix,ALB,Williams,14,13,False,-3.0,Finished
2022,1,Bahrain Grand Prix,LAT,Williams,20,16,False,3.0,Finished
2022,1,Bahrain Grand Prix,RIC,McLaren,18,14,False,-1.0,Finished
2022,1,Bahrain Grand Prix,NOR,McLaren,13,15,False,1.0,Finished
2022,1,Bahrain Grand Prix,PER,Red Bull Racing,4,18,True,-1.0,Fuel pressure
2022,1,Bahrain Grand Prix,VER,Red Bull Racing,2,19,True,1.0,Fuel pressure
2022,2,Saudi Arabian Grand Prix,VER,Red Bull Racing,4,1,False,-3.0,Finished
2022,2,Saudi Arabian Grand Prix,PER,Red Bull Racing,1,4,False,3.0,Finished
2022,2,Saudi Arabian Grand Prix,LEC,Ferrari,2,2,False,-1.0,Finished
2022,2,Saudi Arabian Grand Prix,SAI,Ferrari,3,3,False,1.0,Finished
2022,2,Saudi Arabian Grand Prix,RUS,Mercedes,6,5,False,-5.0,Finished
2022,2,Saudi Arabian Grand Prix,HAM,Mercedes,15,10,False,5.0,Finished
