year,round,driver,team,driver_elo_prior,teammate_quali_gap,gap_to_pole,constructor_pace_prior,prev_quali_position,avg_quali_position_last3,quali_position,grid_position,finish_position,is_dnf,teammate_race_gap,target_quali_rank,target_race_rank
2022,1,LEC,Ferrari,1500.0,-0.12899999999999068,0.0,0.5,11.0,11.0,1,1,1,0,-1.0,1,1
2022,1,SAI,Ferrari,1500.0,0.12899999999999068,0.12899999999999068,0.5,11.0,11.0,3,3,2,0,1.0,3,2
2022,1,VER,Red Bull Racing,1500.0,-0.2400000000000091,0.12299999999999045,0.5,11.0,11.0,2,2,19,1,1.0,2,19
2022,1,PER,Red Bull Racing,1500.0,0.2400000000000091,0.36299999999999955,0.5,11.0,11.0,4,4,18,1,-1.0,4,18
2022,1,HAM,Mercedes,1500.0,-0.9779999999999944,0.6799999999999926,0.5,11.0,11.0,5,5,3,0,-1.0,5,3
2022,1,RUS,Mercedes,1500.0,0.9779999999999944,1.657999999999987,0.5,11.0,11.0,9,9,4,0,1.0,9,4
2022,1,BOT,Alfa Romeo,1500.0,-1.983000000000004,1.0019999999999953,0.5,11.0,11.0,6,6,6,0,-4.0,6,6
2022,1,ZHO,Alfa Romeo,1500.0,1.983000000000004,2.9849999999999994,0.5,11.0,11.0,15,15,10,0,4.0,15,10
2022,1,MAG,Haas F1 Team,1500.0,-0.18999999999999773,1.25,0.5,11.0,11.0,7,7,5,0,-6.0,7,5
2022,1,MSC,Haas F1 Team,1500.0,0.18999999999999773,1.4399999999999977,0.5,11.0,11.0,12,12,11,0,6.0,12,11
2022,1,ALO,Alpine,1500.0,0.4129999999999967,1.6369999999999862,0.5,11.0,11.0,8,8,9,0,2.0,8,9
2022,1,OCO,Alpine,1500.0,-0.4129999999999967,1.2239999999999895,0.5,11.0,11.0,11,11,7,0,-2.0,11,7
2022,1,GAS,AlphaTauri,1500.0,-0.41200000000000614,1.779999999999987,0.5,11.0,11.0,10,10,20,1,12.0,10,20
2022,1,TSU,AlphaTauri,1500.0,0.41200000000000614,2.191999999999993,0.5,11.0,11.0,16,16,8,0,-12.0,16,8
2022,1,NOR,McLaren,1500.0,-0.9369999999999976,1.4499999999999886,0.5,11.0,11.0,13,13,15,0,1.0,13,15
2022,1,RIC,McLaren,1500.0,0.9369999999999976,2.3869999999999862,0.5,11.0,11.0,18,18,14,0,-1.0,18,14
2022,1,ALB,Williams,1500.0,-0.9699999999999989,2.1059999999999945,0.5,11.0,11.0,14,14,13,0,-3.0,14,13
2022,1,LAT,Williams,1500.0,0.9699999999999989,3.0759999999999934,0.5,11.0,11.0,20,20,16,0,3.0,20,16
2022,1,HUL,Aston Martin,1500.0,-0.25499999999999545,2.218999999999994,0.5,11.0,11.0,17,17,17,0,5.0,17,17
2022,1,STR,Aston Martin,1500.0,0.25499999999999545,2.4739999999999895,0.5,11.0,11.0,19,19,12,0,-5.0,19,12
2022,2,PER,Red Bull Racing,1509.0,-0.2609999999999957,0.0,0.12299999999999045,4.0,4.0,1,1,4,0,3.0,1,4
2022,2,VER,Red Bull Racing,1512.0,0.2609999999999957,0.2609999999999957,0.12299999999999045,2.0,2.0,4,4,1,0,-3.0,4,1
2022,2,LEC,Ferrari,1513.5,-0.1770000000000067,0.024999999999991473,0.0,1.0,1.0,2,2,2,0,-1.0,2,2
2022,2,SAI,Ferrari,1510.5,0.1770000000000067,0.20199999999999818,0.0,3.0,3.0,3,3,3,0,1.0,3,3
2022,2,OCO,Alpine,1498.5,-0.07900000000000773,0.867999999999995,1.2239999999999895,11.0,11.0,5,5,6,0,-10.0,5,6
2022,2,ALO,Alpine,1503.0,0.07900000000000773,0.9470000000000027,1.2239999999999895,8.0,8.0,7,7,16,1,10.0,7,16
2022,2,RUS,Mercedes,1501.5,-1.2390000000000043,0.9039999999999964,0.6799999999999926,9.0,9.0,6,6,5,0,-5.0,6,5
2022,2,HAM,Mercedes,1507.5,1.2390000000000043,2.1430000000000007,0.6799999999999926,5.0,5.0,16,15,10,0,5.0,16,10
2022,2,BOT,Alfa Romeo,1506.0,-0.6359999999999957,0.9830000000000041,1.0019999999999953,6.0,6.0,8,8,15,1,4.0,8,15
2022,2,ZHO,Alfa Romeo,1492.5,0.6359999999999957,1.6189999999999998,1.0019999999999953,15.0,15.0,13,12,11,0,-4.0,13,11
2022,2,GAS,AlphaTauri,1500.0,0.0,1.054000000000002,1.779999999999987,10.0,10.0,9,9,8,0,-11.0,9,8
2022,2,MAG,Haas F1 Team,1504.5,-0.33200000000000784,1.387999999999991,1.25,7.0,7.0,10,10,9,0,-90.0,10,9
2022,2,MSC,Haas F1 Team,1497.0,0.33200000000000784,1.7199999999999989,1.25,12.0,12.0,14,20,99,1,90.0,14,99
2022,2,NOR,McLaren,1495.5,-0.12199999999999989,1.4509999999999934,1.4499999999999886,13.0,13.0,11,11,7,0,-10.0,11,7
2022,2,RIC,McLaren,1488.0,0.12199999999999989,1.5729999999999933,1.4499999999999886,18.0,18.0,12,14,17,1,10.0,12,17
2022,2,STR,Aston Martin,1486.5,0.465999999999994,2.8089999999999975,2.218999999999994,19.0,19.0,15,13,13,0,1.0,15,13
2022,2,HUL,Aston Martin,1489.5,-0.465999999999994,2.3430000000000035,2.218999999999994,17.0,17.0,18,17,12,0,-1.0,18,12
2022,2,ALB,Williams,1494.0,-1.3249999999999886,2.2920000000000016,2.1059999999999945,14.0,14.0,17,16,14,1,-4.0,17,14
2022,2,LAT,Williams,1485.0,1.3249999999999886,3.6169999999999902,2.1059999999999945,20.0,20.0,19,18,18,1,4.0,19,18
2022,3,LEC,Ferrari,1525.5,-1.5400000000000063,0.0,0.012499999999995737,2.0,1.5,1,1,1,0,-19.0,1,1
2022,3,SAI,Ferrari,1521.0,1.5400000000000063,1.5400000000000063,0.012499999999995737,3.0,3.0,9,9,20,1,19.0,9,20
2022,3,VER,Red Bull Racing,1521.0,-0.08599999999999852,0.28600000000000136,0.061499999999995225,4.0,3.0,2,2,18,1,16.0,2,18
2022,3,PER,Red Bull Racing,1522.5,0.08599999999999852,0.3719999999999999,0.061499999999995225,1.0,2.5,3,3,2,0,-16.0,3,2
2022,3,NOR,McLaren,1494.0,-0.3289999999999935,0.835000000000008,1.450499999999991,11.0,12.0,4,4,5,0,-1.0,4,5
2022,3,RIC,McLaren,1485.0,0.3289999999999935,1.1640000000000015,1.450499999999991,12.0,15.0,7,7,6,0,1.0,7,6
2022,3,HAM,Mercedes,1498.5,-0.10800000000000409,0.9570000000000078,0.7919999999999945,16.0,10.5,5,5,4,0,1.0,5,4
2022,3,RUS,Mercedes,1507.5,0.10800000000000409,1.065000000000012,0.7919999999999945,6.0,7.5,6,6,3,0,-1.0,6,3
2022,3,OCO,Alpine,1506.0,0.24600000000000932,1.193000000000012,1.0459999999999923,5.0,8.0,8,8,7,0,-10.0,8,7
2022,3,ALO,Alpine,1507.5,-0.24600000000000932,0.9470000000000027,1.0459999999999923,7.0,7.5,10,10,17,0,10.0,10,17
2022,3,GAS,AlphaTauri,1501.5,-0.1980000000000075,1.358000000000004,1.4169999999999945,9.0,9.5,11,11,9,0,-6.0,11,9
2022,3,TSU,AlphaTauri,1491.0,0.1980000000000075,1.5560000000000116,1.4169999999999945,16.0,16.0,13,13,15,0,6.0,13,15
2022,3,BOT,Alfa Romeo,1509.0,-0.7450000000000045,1.5420000000000016,0.9924999999999997,8.0,7.0,12,12,8,0,-3.0,12,8
2022,3,ZHO,Alfa Romeo,1488.0,0.7450000000000045,2.287000000000006,0.9924999999999997,13.0,14.0,14,14,11,0,3.0,14,11
2022,3,MSC,Haas F1 Team,1491.0,0.21099999999999852,2.5970000000000084,1.3189999999999955,14.0,13.0,15,15,13,0,-1.0,15,13
2022,3,MAG,Haas F1 Team,1504.5,-0.21099999999999852,2.38600000000001,1.3189999999999955,10.0,8.5,17,16,14,0,1.0,17,14
2022,3,ALB,Williams,1483.5,-1.2369999999999948,2.26700000000001,2.198999999999998,17.0,15.5,16,20,10,0,-6.0,16,10
2022,3,LAT,Williams,1471.5,1.2369999999999948,3.504000000000005,2.198999999999998,19.0,19.5,19,18,16,0,6.0,19,16
2022,3,VET,Aston Martin,1500.0,0.0,3.281000000000006,2.280999999999999,11.0,11.0,18,17,19,1,7.0,18,19
2022,4,VER,Red Bull Racing,1533.0,-1.8090000000000117,0.0,0.13633333333333061,2.0,2.6666666666666665,1,1,1,0,-1.0,1,1
2022,4,PER,Red Bull Racing,1533.0,1.8090000000000117,1.8090000000000117,0.13633333333333061,3.0,2.6666666666666665,7,3,2,0,1.0,7,2
